Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.00384025,,,
Filter Frequency,1.4e+06,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-8.694e+00,-0.004,0.004,-9.2,-9
-8.690e+00,-0.004,-0.012,-9.2,-9.4
-8.687e+00,-0.004,0.004,-9.2,-9
-8.683e+00,-0,-0.012,-9.2,-9.4
-8.679e+00,-0.004,0.004,-9.2,-9
-8.675e+00,-0.004,-0.012,-9.2,-9.4
-8.671e+00,-0.004,0.004,-9.2,-9
-8.667e+00,-0.004,-0.012,-9.2,-9.6
-8.664e+00,-0.004,0.004,-9.2,-9
-8.660e+00,-0.008,-0.012,-9.2,-9.6
-8.656e+00,-0.004,0.004,-9.2,-9
-8.652e+00,-0.004,-0.012,-9.2,-9.6
-8.648e+00,-0.004,0.004,-9.4,-9
-8.644e+00,-0.004,-0.012,-9.4,-9.6
-8.641e+00,-0.004,0.004,-9.4,-9
-8.637e+00,-0.004,-0.012,-9.4,-9.6
-8.633e+00,-0.008,0.004,-9.4,-9.2
-8.629e+00,-0.004,-0.012,-9.4,-9.6
-8.625e+00,-0.004,0.004,-9.4,-9.2
-8.621e+00,-0.004,-0.012,-9.4,-9.6
-8.618e+00,-0.004,0.004,-9.4,-9.2
-8.614e+00,-0.004,-0.012,-9.4,-9.6
-8.610e+00,-0.004,0.004,-9.4,-9.2
-8.606e+00,-0.004,-0.012,-9.4,-9.6
-8.602e+00,-0.004,0.004,-9.4,-9.2
-8.598e+00,-0.004,-0.012,-9.4,-9.6
-8.594e+00,-0.004,0.004,-9.4,-9.2
-8.591e+00,-0.004,-0.016,-9.4,-9.6
-8.587e+00,-0.004,0.008,-9.4,-9.2
-8.583e+00,-0.004,-0.016,-9.4,-9.6
-8.579e+00,-0.004,0.004,-9.4,-9.2
-8.575e+00,-0.004,-0.012,-9.4,-9.6
-8.571e+00,-0.004,0.004,-9.4,-9.2
-8.568e+00,-0.004,-0.012,-9.4,-9.6
-8.564e+00,-0.004,0.008,-9.4,-9.2
-8.560e+00,-0.008,-0.012,-9.4,-9.6
-8.556e+00,-0.004,0.004,-9.4,-9.2
-8.552e+00,-0.004,-0.012,-9.4,-9.6
-8.548e+00,-0.004,0.008,-9.4,-9.2
-8.545e+00,-0.004,-0.012,-9.4,-9.6
-8.541e+00,-0.004,0.008,-9.4,-9.2
-8.537e+00,-0.004,-0.012,-9.4,-9.6
-8.533e+00,-0.004,0.004,-9.4,-9.2
-8.529e+00,-0.004,-0.012,-9.4,-9.6
-8.525e+00,-0.004,0.004,-9.4,-9.2
-8.522e+00,-0.004,-0.012,-9.4,-9.6
-8.518e+00,-0.004,0.004,-9.4,-9.2
-8.514e+00,-0.004,-0.012,-9.4,-9.6
-8.510e+00,-0,0.004,-9.4,-9.2
-8.506e+00,-0.004,-0.012,-9.4,-9.6
-8.502e+00,-0.004,0.004,-9.4,-9.2
-8.498e+00,-0.004,-0.012,-9.4,-9.6
-8.495e+00,-0.004,0.004,-9.4,-9.2
-8.491e+00,-0.004,-0.012,-9.4,-9.6
-8.487e+00,-0.008,0.004,-9.4,-9.2
-8.483e+00,-0.004,-0.012,-9.4,-9.8
-8.479e+00,-0.004,0.004,-9.4,-9.2
-8.475e+00,-0.004,-0.012,-9.4,-9.8
-8.472e+00,-0.004,0.004,-9.4,-9.2
-8.468e+00,-0.004,-0.012,-9.4,-9.8
-8.464e+00,-0.004,0.004,-9.4,-9.2
-8.460e+00,-0.004,-0.012,-9.4,-9.8
-8.456e+00,-0.004,0.004,-9.6,-9.2
-8.452e+00,-0.004,-0.012,-9.6,-9.8
-8.449e+00,-0.004,0.004,-9.6,-9.2
-8.445e+00,-0.004,-0.012,-9.6,-9.8
-8.441e+00,-0.004,0.004,-9.6,-9.2
-8.437e+00,-0.004,-0.012,-9.6,-9.8
-8.433e+00,-0.004,0.004,-9.6,-9.2
-8.429e+00,-0.004,-0.012,-9.6,-9.8
-8.425e+00,-0.004,0.008,-9.6,-9.4
-8.422e+00,-0.004,-0.016,-9.6,-9.8
-8.418e+00,-0.004,0.008,-9.6,-9.4
-8.414e+00,-0.004,-0.02,-9.6,-9.8
-8.410e+00,-0.004,0.004,-9.6,-9.4
-8.406e+00,-0.004,-0.012,-9.6,-9.8
-8.402e+00,-0.004,0.004,-9.6,-9.4
-8.399e+00,-0.004,-0.012,-9.6,-9.8
-8.395e+00,-0.004,0.004,-9.6,-9.4
-8.391e+00,-0.004,-0.012,-9.6,-9.8
-8.387e+00,-0.004,0.008,-9.6,-9.4
-8.383e+00,-0.004,-0.012,-9.6,-9.8
-8.379e+00,-0.004,0.004,-9.6,-9.4
-8.376e+00,-0.004,-0.012,-9.6,-9.8
-8.372e+00,-0.004,0.004,-9.6,-9.4
-8.368e+00,-0.004,-0.012,-9.6,-9.8
-8.364e+00,-0.004,0.004,-9.6,-9.4
-8.360e+00,-0.004,-0.012,-9.6,-9.8
-8.356e+00,-0.004,0.004,-9.6,-9.4
-8.353e+00,-0.004,-0.012,-9.6,-9.8
-8.349e+00,-0.004,0.004,-9.6,-9.4
-8.345e+00,-0.004,-0.012,-9.6,-9.8
-8.341e+00,-0.004,0.004,-9.6,-9.4
-8.337e+00,-0.004,-0.012,-9.6,-9.8
-8.333e+00,-0.004,0.004,-9.6,-9.4
-8.329e+00,-0.004,-0.012,-9.6,-9.8
-8.326e+00,-0.004,0.004,-9.6,-9.4
-8.322e+00,-0.004,-0.012,-9.6,-9.8
-8.318e+00,-0.004,0.004,-9.6,-9.4
-8.314e+00,-0.004,-0.012,-9.6,-9.8
-8.310e+00,-0.004,0.004,-9.6,-9.4
-8.306e+00,-0.004,-0.012,-9.6,-9.8
-8.303e+00,-0.004,0.004,-9.6,-9.4
-8.299e+00,-0.004,-0.012,-9.6,-9.8
-8.295e+00,-0.004,0.004,-9.6,-9.4
-8.291e+00,-0.004,-0.012,-9.6,-9.8
-8.287e+00,-0.004,0.004,-9.6,-9.4
-8.283e+00,-0.004,-0.012,-9.6,-9.8
-8.280e+00,-0.004,0.008,-9.6,-9.4
-8.276e+00,-0.004,-0.012,-9.8,-9.8
-8.272e+00,-0.004,0.004,-9.6,-9.4
-8.268e+00,-0.004,-0.012,-9.8,-10
-8.264e+00,-0.004,0.012,-9.6,-9.4
-8.260e+00,-0.004,-0.016,-9.8,-10
-8.257e+00,-0.004,0.008,-9.8,-9.4
-8.253e+00,-0.004,-0.012,-9.8,-10
-8.249e+00,-0.004,0.004,-9.8,-9.6
-8.245e+00,-0.004,-0.012,-9.8,-10
-8.241e+00,-0.004,0.004,-9.8,-9.6
-8.237e+00,-0.004,-0.012,-9.8,-10
-8.233e+00,-0.004,0.004,-9.8,-9.6
-8.230e+00,-0.004,-0.012,-9.8,-10
-8.226e+00,-0.004,0.008,-9.8,-9.6
-8.222e+00,-0.004,-0.012,-9.8,-10
-8.218e+00,-0.004,0.004,-9.8,-9.6
-8.214e+00,-0.004,-0.012,-9.8,-10
-8.210e+00,-0.004,0.004,-9.8,-9.6
-8.207e+00,-0.004,-0.012,-9.8,-10
-8.203e+00,-0.004,0.004,-9.8,-9.6
-8.199e+00,-0.004,-0.012,-9.8,-10
-8.195e+00,-0.004,0.004,-9.8,-9.6
-8.191e+00,-0.004,-0.012,-9.8,-10
-8.187e+00,-0.004,0.004,-9.8,-9.6
-8.184e+00,-0,-0.012,-9.8,-10
-8.180e+00,-0.004,0.004,-9.8,-9.6
-8.176e+00,-0.004,-0.012,-9.8,-10
-8.172e+00,-0.004,0.004,-9.8,-9.6
-8.168e+00,-0.004,-0.012,-9.8,-10
-8.164e+00,-0.004,0.004,-9.8,-9.6
-8.161e+00,-0.004,-0.012,-9.8,-10
