Model,DPO2012,,,
Firmware Version,1.39,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.74E+01,-0.02,-0.068,-0.15,-0.35
-1.74E+01,-0.02,0.028,-0.15,0.05
-1.74E+01,-0.02,-0.076,-0.15,-0.35
-1.73E+01,-0.02,0.028,-0.15,0.05
-1.73E+01,-0.02,-0.068,-0.15,-0.35
-1.73E+01,-0.02,0.028,-0.15,0.05
-1.73E+01,-0.02,-0.072,-0.15,-0.35
-1.73E+01,-0.02,0.028,-0.15,0.07
-1.73E+01,-0.02,-0.072,-0.15,-0.35
-1.73E+01,-0.02,0.02,-0.15,0.07
-1.73E+01,-0.02,-0.068,-0.15,-0.35
-1.73E+01,-0.02,0.028,-0.15,0.07
-1.73E+01,-0.02,-0.076,-0.17,-0.35
-1.73E+01,-0.02,0.024,-0.17,0.03
-1.73E+01,-0.02,-0.068,-0.17,-0.37
-1.73E+01,-0.02,0.032,-0.19,0.03
-1.72E+01,-0.02,-0.072,-0.19,-0.39
-1.72E+01,-0.02,0.024,-0.19,0.01
-1.72E+01,-0.02,-0.068,-0.19,-0.39
-1.72E+01,-0.02,0.032,-0.19,0.01
-1.72E+01,-0.02,-0.068,-0.19,-0.39
-1.72E+01,-0.02,0.028,-0.19,0.01
-1.72E+01,-0.02,-0.072,-0.19,-0.39
-1.72E+01,-0.02,0.032,-0.19,0.03
-1.72E+01,-0.02,-0.068,-0.19,-0.37
-1.72E+01,-0.02,0.028,-0.17,0.03
-1.72E+01,-0.02,-0.072,-0.17,-0.37
-1.72E+01,-0.02,0.028,-0.17,0.03
-1.72E+01,-0.02,-0.068,-0.17,-0.37
-1.71E+01,-0.02,0.028,-0.17,0.03
-1.71E+01,-0.02,-0.076,-0.17,-0.37
-1.71E+01,-0.02,0.024,-0.15,0.03
-1.71E+01,-0.02,-0.068,-0.15,-0.35
-1.71E+01,-0.02,0.028,-0.15,0.05
-1.71E+01,-0.02,-0.072,-0.13,-0.35
-1.71E+01,-0.02,0.024,-0.13,0.07
-1.71E+01,-0.02,-0.072,-0.13,-0.33
-1.71E+01,-0.02,0.032,-0.11,0.09
-1.71E+01,-0.02,-0.068,-0.11,-0.31
-1.71E+01,-0.02,0.02,-0.11,0.09
-1.71E+01,-0.02,-0.072,-0.09,-0.31
-1.71E+01,-0.02,0.024,-0.09,0.11
-1.70E+01,-0.02,-0.064,-0.09,-0.29
-1.70E+01,-0.02,0.032,-0.09,0.11
-1.70E+01,-0.02,-0.072,-0.07,-0.29
-1.70E+01,-0.02,0.024,-0.07,0.13
-1.70E+01,-0.02,-0.068,-0.07,-0.27
-1.70E+01,-0.02,0.032,-0.05,0.15
-1.70E+01,-0.02,-0.072,-0.05,-0.25
-1.70E+01,-0.02,0.024,-0.03,0.17
-1.70E+01,-0.02,-0.064,-0.00999999,-0.21
-1.70E+01,-0.02,0.032,-0.00999999,0.19
-1.70E+01,-0.02,-0.072,0.01,-0.19
-1.70E+01,-0.02,0.024,0.03,0.21
-1.70E+01,-0.02,-0.064,0.05,-0.17
-1.69E+01,-0.02,0.02,0.07,0.25
-1.69E+01,-0.02,-0.068,0.09,-0.15
-1.69E+01,-0.02,0.032,0.11,0.29
-1.69E+01,-0.02,-0.072,0.13,-0.11
-1.69E+01,-0.02,0.024,0.15,0.35
-1.69E+01,-0.02,-0.064,0.17,-0.05
-1.69E+01,-0.02,0.036,0.19,0.39
-1.69E+01,-0.02,-0.072,0.21,-0.00999999
-1.69E+01,-0.02,0.028,0.23,0.43
-1.69E+01,-0.02,-0.064,0.25,0.03
-1.69E+01,-0.016,0.036,0.27,0.49
-1.69E+01,-0.016,-0.072,0.29,0.09
-1.69E+01,-0.016,0.028,0.31,0.53
-1.68E+01,-0.016,-0.068,0.33,0.13
-1.68E+01,-0.016,0.032,0.35,0.55
-1.68E+01,-0.016,-0.072,0.37,0.15
-1.68E+01,-0.016,0.032,0.37,0.57
-1.68E+01,-0.016,-0.064,0.39,0.17
-1.68E+01,-0.016,0.032,0.41,0.59
-1.68E+01,-0.016,-0.064,0.43,0.21
-1.68E+01,-0.016,0.032,0.45,0.61
-1.68E+01,-0.016,-0.072,0.45,0.27
-1.68E+01,-0.016,0.028,0.47,0.67
-1.68E+01,-0.016,-0.064,0.47,0.25
-1.68E+01,-0.016,0.032,0.45,0.67
-1.68E+01,-0.016,-0.068,0.45,0.25
-1.67E+01,-0.016,0.028,0.45,0.67
-1.67E+01,-0.016,-0.064,0.45,0.23
-1.67E+01,-0.016,0.032,0.47,0.65
-1.67E+01,-0.016,-0.064,0.49,0.25
-1.67E+01,-0.016,0.02,0.53,0.69
-1.67E+01,-0.016,-0.068,0.57,0.33
-1.67E+01,-0.016,0.032,0.59,0.79
-1.67E+01,-0.016,-0.064,0.63,0.41
-1.67E+01,-0.016,0.024,0.67,0.87
-1.67E+01,-0.016,-0.068,0.71,0.49
-1.67E+01,-0.016,0.032,0.75,0.95
-1.67E+01,-0.016,-0.064,0.77,0.59
-1.67E+01,-0.016,0.032,0.79,1.01
-1.66E+01,-0.016,-0.068,0.77,0.57
-1.66E+01,-0.016,0.028,0.73,1.03
-1.66E+01,-0.016,-0.064,0.69,0.47
-1.66E+01,-0.016,0.036,0.67,0.91
-1.66E+01,-0.016,-0.068,0.69,0.47
-1.66E+01,-0.016,0.028,0.69,0.87
-1.66E+01,-0.016,-0.06,0.71,0.53
-1.66E+01,-0.016,0.036,0.73,0.91
-1.66E+01,-0.016,-0.064,0.75,0.55
